t,S,I,R
11.656734564618382,807,97,96
11.663571463045278,806,98,96
11.677781700885404,806,97,97
11.697652140428461,806,96,98
11.710926652774733,805,97,98
11.715415839728061,804,98,98
11.722811804479145,804,97,99
11.724506868104271,803,98,99
11.727409350690824,802,99,99
11.752780157255716,801,100,99
11.77217227535039,800,101,99
11.781934960557631,800,100,100
11.793987644761888,799,101,100
11.818800467659848,799,100,101
11.836948396330758,798,101,101
11.89302520085663,798,100,102
11.896124195436245,797,101,102
11.905710158864027,796,102,102
11.931497739120783,795,103,102
11.949273726466217,794,104,102
11.949305069014846,793,105,102
12.033174269922014,793,104,103
12.04887382152079,793,103,104
12.053543396928545,792,104,104
12.074288343153578,791,105,104
12.077298336549116,790,106,104
12.116090092428813,790,105,105
12.117233851921137,789,106,105
12.156368948484182,788,107,105
12.168483808125448,787,108,105
12.208005441086614,786,109,105
12.220565839743754,786,108,106
12.251030262310579,786,107,107
12.26590000399448,785,108,107
12.281616813936287,784,109,107
12.306040605054752,783,110,107
12.307387700897847,782,111,107
12.311921220431374,781,112,107
12.312210371329673,780,113,107
12.312374716496377,779,114,107
12.32202088828032,778,115,107
12.355752334535664,777,116,107
12.36409495633015,776,117,107
12.364205667363425,775,118,107
12.365055519103738,774,119,107
12.368186214441067,774,118,108
12.39617371189621,774,117,109
12.403417395032697,774,116,110
12.43447598227927,773,117,110
12.444564724973393,772,118,110
12.445046194733482,772,117,111
12.4525895483788,771,118,111
12.459580905680806,770,119,111
12.466592254174342,770,118,112
12.511991758949899,770,117,113
12.51300778388705,769,118,113
12.533059192858834,768,119,113
12.54371580181241,767,120,113
12.56164987426021,766,121,113
12.564407342270231,765,122,113
12.581047341568272,764,123,113
12.595059142067836,764,122,114
12.596256494194831,763,123,114
12.61134979088903,762,124,114
12.619256269305968,762,123,115
12.630330932171901,761,124,115
12.63522581425695,761,123,116
12.653311838130982,760,124,116
12.667979471288604,759,125,116
12.678119431581075,758,126,116
12.688299321791241,757,127,116
12.69539465821495,757,126,117
12.705922793540859,756,127,117
12.711385412936393,755,128,117
12.727990108548859,755,127,118
12.745522853654695,755,126,119
12.777884684921503,755,125,120
12.79791024670042,754,126,120
12.805893696745748,754,125,121
12.826291531479061,754,124,122
12.835730003399505,753,125,122
12.839034042022435,752,126,122
12.839124496057043,751,127,122
12.839655583897569,750,128,122
12.846527466191102,750,127,123
12.852588970091599,750,126,124
12.880923401235153,749,127,124
12.888389127911905,748,128,124
12.897650395690832,747,129,124
12.94024229157254,747,128,125
12.945585414444611,746,129,125
12.963006334593688,746,128,126
12.968353606732629,746,127,127
12.969964739151747,745,128,127
12.974794462779684,745,127,128
12.983948082209167,744,128,128
12.986314438497317,744,127,129
12.99547152620991,744,126,130
13.0046603949809,743,127,130
13.013752164566158,743,126,131
13.029409393234797,743,125,132
13.040371865517004,743,124,133
13.042822526146514,742,125,133
13.046847902069361,741,126,133
13.064039504932175,740,127,133
13.071596715670532,740,126,134
13.072779769048077,739,127,134
13.07827958194788,739,126,135
13.102176586716325,739,125,136
13.124247979043286,738,126,136
13.129885471819499,737,127,136
13.131348192281918,737,126,137
13.136031511978599,736,127,137
13.15569747997281,735,128,137
13.185969122822689,734,129,137
13.195913153699916,733,130,137
13.200969485256397,733,129,138
13.2028160869858,732,130,138
13.203265435449692,732,129,139
13.213159665669552,732,128,140
13.268702416433669,731,129,140
13.268775637230124,730,130,140
13.269348824060973,729,131,140
13.27370623451159,728,132,140
13.282090688128243,727,133,140
13.322971141563315,726,134,140
13.331756471533643,725,135,140
13.334738111439952,724,136,140
13.348350092400613,724,135,141
13.358668602920595,723,136,141
13.363478053863016,722,137,141
13.364280007669382,722,136,142
13.367438480124585,721,137,142
13.370929879378705,720,138,142
13.384135049395512,719,139,142
13.393622250272427,718,140,142
13.409766655365663,717,141,142
13.413252462848636,717,140,143
